src,dst,volume,cost
1,2,4494.6576464564205,6.00081623735432
1,3,8119.079948047809,4.008690750207941
2,1,4519.079948047809,6.000834122995382
2,6,5967.336396171377,6.573598255386801
3,1,8094.6576464564205,4.008586653499848
3,4,14006.371019862527,4.2694018322732905
3,12,10022.319615163622,4.0201791556206405
4,3,14030.560917400857,4.271267755875735
4,5,18006.371019862527,2.3153741062577953
4,11,5200.0,7.1333004801798925
5,4,18030.560917400857,2.3170722283501695
5,6,8798.26771410631,9.99822520770989
5,9,15780.782055471172,9.651310705325999
6,2,5991.758697762765,6.599517667370174
6,5,8806.498666814754,10.020702556347622
6,8,12492.925360562731,14.690955002063726
7,8,12101.529122313244,5.55216038110299
7,18,15794.010606975833,2.0622256872131777
8,6,12525.578614862563,14.824159517828813
8,7,12040.918272853545,5.501412962563085
8,9,6882.664912661778,15.174707514675859
8,16,8388.71306300359,10.729473525552692
9,5,15796.74100030106,9.670154559500556
9,8,6836.705975294404,15.03786950444767
9,10,21744.07608017677,5.682533051602025
10,9,21814.07608763928,5.717243386296829
10,11,17726.62503296105,12.405689451182845
10,15,23125.797290102622,13.72237028250547
10,16,11047.093881273468,20.084809978398383
10,17,8100.0,16.308017150740422
11,4,5300.0,7.223024555194135
11,10,17604.223533231314,12.203254534036494
11,12,8365.285653859217,13.590227634461069
11,14,9776.119532747252,13.691285688495954
12,3,9973.707416033903,4.019790487445956
12,11,8404.934623946574,13.735155648868583
12,13,12287.605269022839,3.022796543682372
13,12,12378.642039980477,3.023479671561587
13,24,11121.357960019523,17.661007722734873
14,11,9814.06906293016,13.842645045035516
14,15,9036.334134027638,12.23433912804607
14,23,8400.436830274855,9.079344311718367
15,10,23192.283359357847,13.811560451025963
15,14,9079.820316587473,12.374604857173303
15,19,19083.289764747366,4.326212079332105
15,22,18409.93502651531,9.08814367305963
16,8,8406.714405211096,10.778811570380915
16,10,11073.00931921049,20.236275698759833
16,17,11695.002916533696,9.501458490999475
16,18,15278.325241515115,3.1634648042599296
17,10,8100.0,16.308017150740422
17,16,11683.838282439508,9.472854415655231
17,19,9953.02143205102,7.436626799094368
18,7,15854.621456435532,2.0631863850180094
18,16,15333.406655753832,3.1658348757764214
18,20,18976.79611920187,4.2593710873324016
19,15,19116.724279078175,4.335530792063869
19,17,9941.856797956832,7.412274035329561
19,20,8688.367040494595,9.459063508153196
20,18,18992.488382900287,4.260230067055197
20,19,8710.636920731216,9.515249398501574
20,21,6302.022874186994,8.1656608127813
20,22,7000.0,7.713130000305228
21,20,6239.985018122032,8.081635689665607
21,22,8619.539698101762,4.213505826088517
21,24,10309.410803922008,11.924059828422909
22,15,18386.47276399956,9.057167182746475
22,20,7000.0,7.713130000305228
22,21,8607.387929735014,4.201049855811011
22,23,9661.824231365848,12.36580549583202
23,14,8394.90017789793,9.065966544087727
23,22,9626.21020048335,12.243138489387317
23,24,7902.983927055153,3.7593041884018925
24,13,11112.394730977161,17.617020723058587
24,21,10259.524716223794,11.752579405401582
24,23,7861.833243795729,3.722946742102766
